1. Max Holmes, Nasiah Wanganeen-Milera, Mitch Owens, Tom Atkins
372. Mason Wood, Shaun Mannagh, Hunter Clark, Campbell Lake
373. Oliver Dempsey, Shaun Mannagh, Jack Silvagni, Oliver Henry
374. Mason Wood, Mark O'Connor, Ryan Byrnes, Tobie Travaglia
375. Liam O'Connell, Ryan Byrnes, Jay Polkinghorne, Oliver Henry
376. Mitchell Edwards, Hugo Garcia, Shaun Mannagh, Liam Henry
377. Max Holmes, Nasiah Wanganeen-Milera, Mason Wood, Hunter Clark
378. Rowan Marshall, Cooper Sharman, Mason Wood, Tobie Travaglia
379. Max Holmes, Brad Close, Tom Atkins, Campbell Lake
380. Oliver Dempsey, Liam O'Connell, James Worpel, Oliver Henry
381. Mitchell Edwards, Mark O'Connor, Darcy Wilson, Shaun Mannagh
382. Connor O'Sullivan, Shannon Neale, Callum Wilkie, Campbell Lake
383. Oliver Wiltshire, Darcy Wilson, Shannon Neale, Jack Silvagni
384. Oliver Dempsey, Brad Close, Patrick Dangerfield, Tobie Travaglia
385. Max Holmes, Liam Stocker, Brad Close, Oliver Henry
386. Mason Wood, Liam Ryan, Shannon Neale, Liam Henry
387. Max Holmes, Mason Wood, Jack Higgins, Jack Henry
388. Mitchell Edwards, Oliver Dempsey, Marcus Windhager, Oliver Wiltshire
389. Tom Stewart, Jack Silvagni, Jack Henry, Mattaes Phillipou
390. Connor O'Sullivan, Darcy Wilson, Liam Henry, Mattaes Phillipou
391. Mitchell Edwards, Lawson Humphries, Callum Wilkie, Jay Polkinghorne
392. Connor O'Sullivan, Jack Higgins, Callum Wilkie, Campbell Lake
393. Oisin Mullin, Sam De Koning, Marcus Windhager, Oliver Wiltshire
394. Nasiah Wanganeen-Milera, Mason Wood, Jack Higgins, Ryan Byrnes
395. Rowan Marshall, Patrick Dangerfield, Tobie Travaglia, Liam Henry
396. Connor O'Sullivan, Liam Ryan, Oliver Dempsey, Anthony Caminiti
397. Liam O'Connell, Gryan Miers, Bradley Hill, Anthony Caminiti
398. Sam De Koning, Liam Ryan, Darcy Wilson, Liam Henry
399. Jay Polkinghorne, Jack Silvagni, Tobie Travaglia, Liam Henry
400. Hugo Garcia, Oisin Mullin, Shannon Neale, Oliver Henry
401. Nasiah Wanganeen-Milera, Tom Stewart, Sam De Koning, Oliver Henry
402. Hugo Garcia, Mitch Owens, Gryan Miers, Jack Silvagni
403. Hugo Garcia, Mark O'Connor, Liam O'Connell, Gryan Miers
404. Sam De Koning, Liam O'Connell, Brad Close, Tobie Travaglia
405. Mitchell Edwards, Cooper Sharman, Zach Guthrie, Marcus Windhager
406. Hugo Garcia, Liam Ryan, Shaun Mannagh, James Worpel
407. Mitch Owens, Marcus Windhager, Oliver Wiltshire, Callum Wilkie
408. Sam De Koning, Liam O'Connell, Marcus Windhager, Ryan Byrnes
409. Nasiah Wanganeen-Milera, Sam De Koning, Ryan Byrnes, Liam Henry
410. Nasiah Wanganeen-Milera, Oliver Wiltshire, Shannon Neale, Liam Henry
411. Hugo Garcia, Tom Stewart, Jack Higgins, James Worpel
412. Max Holmes, Oisin Mullin, Tom Stewart, Connor O'Sullivan
413. Cooper Sharman, Lawson Humphries, Liam O'Connell, Shaun Mannagh
414. Mitchell Edwards, Lawson Humphries, Jack Higgins, Hunter Clark
415. Max Hall, Lawson Humphries, Shaun Mannagh, Jay Polkinghorne
416. Oisin Mullin, Jack Higgins, Liam O'Connell, Liam Henry
417. Oisin Mullin, Tom Stewart, Liam Ryan, Marcus Windhager
418. Zach Guthrie, Darcy Wilson, Jay Polkinghorne, Liam Henry
419. Connor O'Sullivan, Zach Guthrie, Tom Atkins, Mattaes Phillipou
420. Tom Stewart, Liam Stocker, Patrick Dangerfield, Jhye Clark
421. Oisin Mullin, Marcus Windhager, Gryan Miers, Liam Stocker
422. Oisin Mullin, Jack Higgins, Ryan Byrnes, Jack Silvagni
423. Mitchell Edwards, Connor O'Sullivan, Gryan Miers, Hunter Clark
424. Hugo Garcia, Bradley Hill, Callum Wilkie, Oliver Henry
425. Sam De Koning, Mason Wood, Jack Higgins, Tom Atkins
426. Mitch Owens, Jack Higgins, Jhye Clark, Hunter Clark
427. Tom Stewart, Connor O'Sullivan, Bradley Hill, Jhye Clark
428. Rowan Marshall, Tom Stewart, Anthony Caminiti, James Worpel
429. Tom Stewart, Cooper Sharman, Sam De Koning, Jack Higgins
430. Connor O'Sullivan, Max Hall, Bradley Hill, Jhye Clark
431. Liam Ryan, Marcus Windhager, Gryan Miers, Tobie Travaglia
432. Sam De Koning, Mason Wood, Callum Wilkie, Oliver Henry
433. Jack Higgins, Marcus Windhager, Bradley Hill, Campbell Lake
434. Mitch Owens, Bailey Smith, Oliver Wiltshire, Tobie Travaglia
435. Mitchell Edwards, Sam De Koning, Lawson Humphries, Jack Henry
436. Max Holmes, Tom Stewart, Jack Higgins, Gryan Miers
437. Nasiah Wanganeen-Milera, Jack Higgins, Jhye Clark, Tom Atkins
438. Hugo Garcia, Liam Ryan, Jack Higgins, Hunter Clark
439. Marcus Windhager, Shannon Neale, Callum Wilkie, Tobie Travaglia
440. Nasiah Wanganeen-Milera, Marcus Windhager, Shaun Mannagh, Jhye Clark
441. Mitchell Edwards, Liam Ryan, Anthony Caminiti, Jack Silvagni
442. Max Holmes, Oisin Mullin, Connor O'Sullivan, Mark O'Connor
443. Gryan Miers, Brad Close, Bradley Hill, Callum Wilkie
444. Mason Wood, Liam O'Connell, Marcus Windhager, Anthony Caminiti
445. Connor O'Sullivan, Mason Wood, Zach Guthrie, Tobie Travaglia
446. Mitch Owens, Cooper Sharman, Mattaes Phillipou, Campbell Lake
447. Mason Wood, Bailey Smith, Patrick Dangerfield, James Worpel
448. Shaun Mannagh, Anthony Caminiti, Tobie Travaglia, Mattaes Phillipou
449. Liam Ryan, Darcy Wilson, Shaun Mannagh, Mattaes Phillipou
450. Max Holmes, Tom Stewart, Bailey Smith, Ryan Byrnes
451. Cooper Sharman, Jack Higgins, Tom Atkins, Hunter Clark
452. Marcus Windhager, Gryan Miers, Shannon Neale, Oliver Henry
453. Hugo Garcia, Gryan Miers, Anthony Caminiti, James Worpel
454. Nasiah Wanganeen-Milera, Max Hall, Jay Polkinghorne, Hunter Clark
455. Mitchell Edwards, Bailey Smith, Oliver Wiltshire, Oliver Henry
456. Mason Wood, Bailey Smith, Ryan Byrnes, Jhye Clark
457. Mitchell Edwards, Rowan Marshall, Max Hall, Hunter Clark
458. Lawson Humphries, Oliver Dempsey, Gryan Miers, James Worpel
459. Jack Higgins, Darcy Wilson, Hunter Clark, Jack Henry
460. Oisin Mullin, Nasiah Wanganeen-Milera, Jack Higgins, James Worpel
461. Connor O'Sullivan, Darcy Wilson, Bradley Hill, Oliver Henry
462. Mason Wood, Lawson Humphries, Anthony Caminiti, Oliver Henry
463. Rowan Marshall, Mitch Owens, Cooper Sharman, Marcus Windhager
464. Mitch Owens, Liam O'Connell, Gryan Miers, Campbell Lake
465. Mitch Owens, Sam De Koning, Zach Guthrie, James Worpel
466. Max Holmes, Sam De Koning, Zach Guthrie, Max Hall
467. Tom Stewart, Marcus Windhager, Shaun Mannagh, Jay Polkinghorne
468. Liam Ryan, Liam O'Connell, Darcy Wilson, Jhye Clark
469. Mitch Owens, Connor O'Sullivan, Max Hall, Liam O'Connell
470. Sam De Koning, Lawson Humphries, Patrick Dangerfield, Tobie Travaglia
471. Mitch Owens, Lawson Humphries, Ryan Byrnes, Shaun Mannagh
472. Sam De Koning, Max Hall, Jack Higgins, Campbell Lake
473. Tom Stewart, Jack Higgins, Liam Stocker, Campbell Lake
474. Oliver Dempsey, Shannon Neale, James Worpel, Jack Henry
475. Max Holmes, Mason Wood, Lawson Humphries, Brad Close
476. Hugo Garcia, Liam Stocker, Brad Close, Shannon Neale
477. Sam De Koning, Bradley Hill, Jack Silvagni, Mattaes Phillipou
478. Cooper Sharman, Mark O'Connor, Jack Higgins, Bradley Hill
479. Hugo Garcia, Zach Guthrie, Shaun Mannagh, Tom Atkins
480. Bradley Hill, James Worpel, Mattaes Phillipou, Campbell Lake
481. Bailey Smith, Gryan Miers, Hunter Clark, Mattaes Phillipou
482. Tom Stewart, Marcus Windhager, Hunter Clark, Mattaes Phillipou
483. Sam De Koning, Liam Ryan, Bailey Smith, Anthony Caminiti
484. Oliver Dempsey, Oliver Wiltshire, Gryan Miers, Patrick Dangerfield
485. Mitchell Edwards, Rowan Marshall, Oisin Mullin, Shaun Mannagh
486. Tom Stewart, Ryan Byrnes, Bradley Hill, Patrick Dangerfield
487. Tom Stewart, Zach Guthrie, Oliver Wiltshire, Callum Wilkie
488. Oisin Mullin, Sam De Koning, Oliver Wiltshire, Liam Stocker
489. Mason Wood, Liam Ryan, Jay Polkinghorne, Oliver Henry
490. Marcus Windhager, Patrick Dangerfield, Jay Polkinghorne, Jhye Clark
491. Shaun Mannagh, Callum Wilkie, Jay Polkinghorne, Oliver Henry
492. Mitch Owens, Mark O'Connor, Jack Higgins, Gryan Miers
493. Zach Guthrie, Anthony Caminiti, Liam Henry, Oliver Henry
494. Mason Wood, Shaun Mannagh, Tobie Travaglia, Campbell Lake
495. Mason Wood, Liam Stocker, Shannon Neale, James Worpel
496. Oisin Mullin, Zach Guthrie, Liam Ryan, Jack Henry
497. Liam Ryan, Oliver Wiltshire, Liam Henry, Oliver Henry
498. Max Hall, Oliver Dempsey, Oliver Wiltshire, Liam Henry
499. Hugo Garcia, Sam De Koning, Gryan Miers, Bradley Hill
500. Rowan Marshall, Max Hall, Darcy Wilson, Anthony Caminiti
501. Tom Stewart, Mason Wood, Zach Guthrie, Lawson Humphries
502. Liam Ryan, Bradley Hill, Anthony Caminiti, Hunter Clark
503. Shannon Neale, Jack Silvagni, James Worpel, Liam Henry
504. Mitch Owens, Gryan Miers, Shaun Mannagh, Oliver Henry
505. Rowan Marshall, Oliver Dempsey, Tobie Travaglia, Campbell Lake
506. Oisin Mullin, Shannon Neale, Jay Polkinghorne, Liam Henry
507. Mitch Owens, Connor O'Sullivan, Gryan Miers, Patrick Dangerfield
508. Oisin Mullin, Oliver Dempsey, Anthony Caminiti, Jack Silvagni
509. Oisin Mullin, Tom Stewart, Mason Wood, Anthony Caminiti
510. Max Holmes, Ryan Byrnes, Liam Henry, Oliver Henry
511. Mitchell Edwards, Connor O'Sullivan, Hunter Clark, Mattaes Phillipou
512. Mitchell Edwards, Marcus Windhager, Jack Silvagni, Hunter Clark
513. Nasiah Wanganeen-Milera, Cooper Sharman, Mark O'Connor, James Worpel
514. Max Hall, Liam O'Connell, Callum Wilkie, Liam Henry
515. Brad Close, Bradley Hill, Jack Henry, Campbell Lake
516. Rowan Marshall, Connor O'Sullivan, Mason Wood, Jay Polkinghorne
517. Zach Guthrie, Liam O'Connell, Marcus Windhager, Liam Henry
518. Sam De Koning, Marcus Windhager, Liam Stocker, Liam Henry
519. Marcus Windhager, Darcy Wilson, Patrick Dangerfield, James Worpel
520. Hugo Garcia, Callum Wilkie, Jay Polkinghorne, Jhye Clark
521. Cooper Sharman, Jack Higgins, Liam O'Connell, Gryan Miers
522. Mark O'Connor, Marcus Windhager, Anthony Caminiti, Hunter Clark
523. Sam De Koning, Mason Wood, Callum Wilkie, Tobie Travaglia
524. Nasiah Wanganeen-Milera, Connor O'Sullivan, Jay Polkinghorne, Jack Silvagni
525. Max Holmes, Shaun Mannagh, Bradley Hill, Oliver Henry
526. Mitchell Edwards, Max Holmes, Jack Higgins, Brad Close
527. Max Holmes, Hugo Garcia, Oliver Dempsey, Mattaes Phillipou
528. Mason Wood, Max Hall, Jack Higgins, Gryan Miers
529. Oisin Mullin, Mark O'Connor, Jack Silvagni, Tom Atkins
530. Hugo Garcia, Max Hall, Shaun Mannagh, Bradley Hill
531. Liam Ryan, Mattaes Phillipou, Oliver Henry, Campbell Lake
532. Zach Guthrie, Patrick Dangerfield, Tobie Travaglia, Jack Henry
533. Mitchell Edwards, Shaun Mannagh, Jay Polkinghorne, Oliver Henry
534. Liam O'Connell, Marcus Windhager, Shannon Neale, Callum Wilkie
535. Nasiah Wanganeen-Milera, Mason Wood, Mark O'Connor, Ryan Byrnes
536. Max Holmes, Connor O'Sullivan, Ryan Byrnes, Oliver Henry
537. Zach Guthrie, Liam O'Connell, Liam Henry, Campbell Lake
538. Max Holmes, Mark O'Connor, Liam O'Connell, Campbell Lake
539. Zach Guthrie, Patrick Dangerfield, Liam Henry, Campbell Lake
540. Lawson Humphries, Jay Polkinghorne, Tobie Travaglia, Tom Atkins
541. Liam O'Connell, Darcy Wilson, Shaun Mannagh, James Worpel
542. Gryan Miers, Shaun Mannagh, Brad Close, Campbell Lake
543. Mitch Owens, Mason Wood, Ryan Byrnes, Liam Stocker
544. Mason Wood, Brad Close, Patrick Dangerfield, Hunter Clark
545. Brad Close, Jay Polkinghorne, Jhye Clark, Campbell Lake
546. Liam Ryan, Jack Higgins, Shaun Mannagh, Tobie Travaglia
547. Mason Wood, Mark O'Connor, Liam Ryan, Jay Polkinghorne
548. Oliver Dempsey, Oliver Wiltshire, Darcy Wilson, Jay Polkinghorne
549. Zach Guthrie, Max Hall, Lawson Humphries, James Worpel
550. Hugo Garcia, Tom Stewart, Jack Higgins, Patrick Dangerfield
551. Max Hall, Liam O'Connell, Ryan Byrnes, Oliver Henry
552. Zach Guthrie, Liam Ryan, Gryan Miers, Jay Polkinghorne
553. Nasiah Wanganeen-Milera, Lawson Humphries, Ryan Byrnes, James Worpel
554. Nasiah Wanganeen-Milera, Sam De Koning, Liam Ryan, Mattaes Phillipou
555. Tom Stewart, Connor O'Sullivan, Mark O'Connor, Jack Henry
556. Lawson Humphries, Liam O'Connell, Shaun Mannagh, Tom Atkins
557. Max Hall, Jay Polkinghorne, Tom Atkins, Liam Henry
558. Nasiah Wanganeen-Milera, Mitch Owens, Cooper Sharman, Callum Wilkie
559. Tom Stewart, Mitch Owens, Max Hall, Brad Close
560. Mason Wood, Gryan Miers, Liam Stocker, Bradley Hill
561. Rowan Marshall, Sam De Koning, Mason Wood, Bradley Hill
562. Tom Stewart, Mason Wood, Jack Silvagni, Jack Henry
563. Oisin Mullin, Anthony Caminiti, Shannon Neale, Oliver Henry
564. Nasiah Wanganeen-Milera, Bradley Hill, Liam Henry, Campbell Lake
565. Mitch Owens, Ryan Byrnes, Shaun Mannagh, Liam Stocker
566. Mitch Owens, Zach Guthrie, Anthony Caminiti, Shannon Neale
567. Jack Higgins, Shaun Mannagh, Brad Close, Tom Atkins
568. Rowan Marshall, Mason Wood, Liam O'Connell, Mattaes Phillipou
569. Max Holmes, Jack Higgins, Gryan Miers, Patrick Dangerfield
570. Max Holmes, Callum Wilkie, Hunter Clark, Campbell Lake
571. Oisin Mullin, Ryan Byrnes, Brad Close, Patrick Dangerfield
572. Cooper Sharman, Lawson Humphries, Gryan Miers, James Worpel
573. Hugo Garcia, Oisin Mullin, Zach Guthrie, Jack Silvagni
574. Oisin Mullin, Zach Guthrie, Oliver Dempsey, Gryan Miers
575. Rowan Marshall, Nasiah Wanganeen-Milera, Mitch Owens, Shannon Neale
576. Sam De Koning, Marcus Windhager, Jack Silvagni, Campbell Lake
577. Sam De Koning, Lawson Humphries, Bailey Smith, Gryan Miers
578. Mitch Owens, Liam O'Connell, Tobie Travaglia, Jack Henry
579. Jack Higgins, Patrick Dangerfield, James Worpel, Mattaes Phillipou
580. Zach Guthrie, Jack Silvagni, Jack Henry, Mattaes Phillipou
581. Sam De Koning, Oliver Wiltshire, Jay Polkinghorne, Hunter Clark
582. Rowan Marshall, Oisin Mullin, Liam Ryan, Bradley Hill
583. Oisin Mullin, Cooper Sharman, Zach Guthrie, Liam O'Connell
584. Sam De Koning, Brad Close, Liam Henry, Campbell Lake
585. Cooper Sharman, Marcus Windhager, Liam Stocker, Jack Henry
586. Oliver Wiltshire, Ryan Byrnes, Callum Wilkie, Jay Polkinghorne
587. Mitchell Edwards, Mitch Owens, Cooper Sharman, Jack Henry
588. Marcus Windhager, Darcy Wilson, Patrick Dangerfield, Campbell Lake
589. Cooper Sharman, Mark O'Connor, Callum Wilkie, Liam Henry
590. Max Hall, Marcus Windhager, Liam Stocker, Jack Silvagni
591. Mitchell Edwards, Max Holmes, Bailey Smith, Jack Henry
592. Connor O'Sullivan, Mark O'Connor, Lawson Humphries, Oliver Dempsey
593. Tom Stewart, Liam O'Connell, Jack Silvagni, Jhye Clark
594. Cooper Sharman, Marcus Windhager, Tom Atkins, Mattaes Phillipou
595. Sam De Koning, Shaun Mannagh, James Worpel, Mattaes Phillipou
596. Jack Higgins, Darcy Wilson, Shannon Neale, Campbell Lake
597. Oliver Dempsey, Bailey Smith, Liam Stocker, Bradley Hill
598. Ryan Byrnes, Jay Polkinghorne, Tobie Travaglia, Tom Atkins
599. Oisin Mullin, Liam Ryan, Jhye Clark, Hunter Clark
600. Mark O'Connor, Lawson Humphries, Shannon Neale, Oliver Henry
601. Oisin Mullin, Liam Ryan, Liam O'Connell, Jhye Clark
602. Nasiah Wanganeen-Milera, Callum Wilkie, Tom Atkins, James Worpel
603. Mason Wood, Bailey Smith, Oliver Wiltshire, Liam Henry
604. Mark O'Connor, Liam Ryan, Oliver Dempsey, Campbell Lake
605. Mitchell Edwards, Sam De Koning, Jhye Clark, Campbell Lake
606. Cooper Sharman, Bailey Smith, Jhye Clark, Tom Atkins
607. Mitch Owens, Ryan Byrnes, Patrick Dangerfield, Jack Silvagni
608. Sam De Koning, Mark O'Connor, Liam O'Connell, Patrick Dangerfield
609. Hugo Garcia, Connor O'Sullivan, Gryan Miers, Jhye Clark
610. Max Hall, Mark O'Connor, Ryan Byrnes, Bradley Hill
611. Max Holmes, Mason Wood, Liam O'Connell, Jhye Clark
612. Tom Atkins, Hunter Clark, Liam Henry, Jack Henry
613. Jack Higgins, Liam O'Connell, Anthony Caminiti, Oliver Henry
614. Mitchell Edwards, Sam De Koning, Mason Wood, Anthony Caminiti
615. Cooper Sharman, Shaun Mannagh, Hunter Clark, James Worpel
616. Darcy Wilson, Brad Close, Tobie Travaglia, Campbell Lake
617. Liam O'Connell, Callum Wilkie, Jay Polkinghorne, Tobie Travaglia
618. Mitchell Edwards, Sam De Koning, Zach Guthrie, Callum Wilkie
619. Rowan Marshall, Max Hall, Mark O'Connor, Mattaes Phillipou
620. Mason Wood, Liam Ryan, Jack Higgins, Callum Wilkie
621. Max Holmes, Liam Ryan, Brad Close, Hunter Clark
622. Zach Guthrie, Ryan Byrnes, Anthony Caminiti, Mattaes Phillipou
623. Hugo Garcia, Jack Higgins, Liam O'Connell, Anthony Caminiti
624. Mitchell Edwards, Shaun Mannagh, Jhye Clark, Jack Henry
625. Nasiah Wanganeen-Milera, Jack Higgins, Bailey Smith, Ryan Byrnes
626. Cooper Sharman, Mark O'Connor, Jack Higgins, Oliver Dempsey
627. Mitch Owens, Jack Higgins, Marcus Windhager, Liam Henry
628. Oisin Mullin, Mason Wood, Liam Ryan, Jack Silvagni
629. Zach Guthrie, Oliver Dempsey, Brad Close, Tom Atkins
630. Mitch Owens, Lawson Humphries, Tobie Travaglia, Tom Atkins
631. Mitch Owens, Liam Stocker, Shannon Neale, Mattaes Phillipou
632. Cooper Sharman, Mark O'Connor, Jack Higgins, Gryan Miers
633. Tom Stewart, Connor O'Sullivan, Gryan Miers, Jack Silvagni
634. Sam De Koning, Shannon Neale, Tobie Travaglia, Campbell Lake
635. Nasiah Wanganeen-Milera, Zach Guthrie, Ryan Byrnes, Brad Close
636. Rowan Marshall, Zach Guthrie, Max Hall, Jack Silvagni
637. Max Hall, Lawson Humphries, Marcus Windhager, Hunter Clark
638. Mitchell Edwards, Mitch Owens, Connor O'Sullivan, Hunter Clark
639. Jack Higgins, Ryan Byrnes, Liam Stocker, Jay Polkinghorne
640. Mitchell Edwards, Patrick Dangerfield, Shannon Neale, Jack Henry
641. Connor O'Sullivan, Max Hall, Liam Ryan, Liam Henry
642. Oisin Mullin, Oliver Dempsey, Gryan Miers, Oliver Henry
643. Rowan Marshall, Tom Stewart, Bailey Smith, Tom Atkins
644. Mitchell Edwards, Jack Higgins, Oliver Dempsey, Jhye Clark
645. Mitchell Edwards, Mason Wood, Callum Wilkie, James Worpel
646. Nasiah Wanganeen-Milera, Sam De Koning, Lawson Humphries, Ryan Byrnes
647. Oisin Mullin, Tom Stewart, Max Hall, Liam Stocker
648. Mitchell Edwards, Mitch Owens, Lawson Humphries, James Worpel
649. Jack Silvagni, Jhye Clark, James Worpel, Oliver Henry
650. Hugo Garcia, Oisin Mullin, Cooper Sharman, Liam Stocker
651. Nasiah Wanganeen-Milera, Tom Stewart, Bradley Hill, Mattaes Phillipou
652. Max Holmes, Sam De Koning, Brad Close, James Worpel
653. Max Hall, Oliver Dempsey, Liam Stocker, James Worpel
654. Max Holmes, Tom Stewart, Cooper Sharman, Shaun Mannagh
655. Liam O'Connell, Anthony Caminiti, Tobie Travaglia, Oliver Henry
656. Oisin Mullin, Mark O'Connor, Marcus Windhager, James Worpel
657. Zach Guthrie, Shannon Neale, Callum Wilkie, Tom Atkins
658. Nasiah Wanganeen-Milera, Mark O'Connor, Bradley Hill, Tom Atkins
659. Connor O'Sullivan, Anthony Caminiti, Callum Wilkie, Hunter Clark
660. Hugo Garcia, Cooper Sharman, Bradley Hill, Jack Silvagni
661. Shaun Mannagh, Patrick Dangerfield, Tom Atkins, Oliver Henry
662. Shaun Mannagh, Jack Silvagni, Mattaes Phillipou, Oliver Henry
663. Max Holmes, Tom Stewart, Sam De Koning, Bradley Hill
664. Hugo Garcia, Connor O'Sullivan, Zach Guthrie, Liam O'Connell
665. Mitch Owens, Connor O'Sullivan, Jay Polkinghorne, Tobie Travaglia
666. Max Holmes, Oisin Mullin, Tom Stewart, Cooper Sharman
667. Marcus Windhager, Liam Stocker, Jhye Clark, Tobie Travaglia
668. Mitchell Edwards, Cooper Sharman, Bailey Smith, Liam Stocker
669. Mitch Owens, Cooper Sharman, Liam Ryan, Brad Close
670. Marcus Windhager, Darcy Wilson, Callum Wilkie, Jay Polkinghorne
671. Cooper Sharman, Zach Guthrie, Liam Ryan, Liam Henry
672. Cooper Sharman, Shannon Neale, James Worpel, Jack Henry
673. Oisin Mullin, Nasiah Wanganeen-Milera, Jhye Clark, Tobie Travaglia
674. Rowan Marshall, Cooper Sharman, Oliver Dempsey, Ryan Byrnes
675. Darcy Wilson, Bradley Hill, Anthony Caminiti, Liam Henry
676. Nasiah Wanganeen-Milera, Connor O'Sullivan, Oliver Dempsey, Callum Wilkie
677. Rowan Marshall, Brad Close, Jhye Clark, James Worpel
678. Tom Stewart, Oliver Wiltshire, Anthony Caminiti, Shannon Neale
679. Ryan Byrnes, Liam Stocker, Bradley Hill, Jhye Clark
680. Max Holmes, Connor O'Sullivan, Oliver Wiltshire, Liam Stocker
681. Bailey Smith, Marcus Windhager, Liam Stocker, Mattaes Phillipou
682. Mitchell Edwards, Jack Higgins, Brad Close, Jay Polkinghorne
683. Connor O'Sullivan, Mason Wood, Brad Close, Mattaes Phillipou
684. Jack Higgins, Oliver Dempsey, Bradley Hill, Jhye Clark
685. Mason Wood, Mark O'Connor, Hunter Clark, Mattaes Phillipou
686. Cooper Sharman, Sam De Koning, Mason Wood, Mark O'Connor
687. Rowan Marshall, Tom Stewart, Gryan Miers, Tobie Travaglia
688. Liam Ryan, Oliver Dempsey, Gryan Miers, Jack Silvagni
689. Connor O'Sullivan, Cooper Sharman, Zach Guthrie, Ryan Byrnes
690. Mitchell Edwards, Oisin Mullin, Gryan Miers, Jack Henry
691. Sam De Koning, Brad Close, Tobie Travaglia, Oliver Henry
692. Mark O'Connor, Oliver Dempsey, Marcus Windhager, Patrick Dangerfield
693. Max Holmes, Hugo Garcia, Sam De Koning, Zach Guthrie
694. Mason Wood, Oliver Dempsey, Darcy Wilson, Tom Atkins
695. Connor O'Sullivan, Marcus Windhager, Liam Stocker, Brad Close
696. Zach Guthrie, Darcy Wilson, Ryan Byrnes, Brad Close
697. Hugo Garcia, Oisin Mullin, Mark O'Connor, Marcus Windhager
698. Mason Wood, Liam O'Connell, Jack Silvagni, Jack Henry
699. Hugo Garcia, Max Hall, Bradley Hill, Oliver Henry
700. Lawson Humphries, Liam O'Connell, Jay Polkinghorne, Hunter Clark
701. Nasiah Wanganeen-Milera, Shaun Mannagh, Tom Atkins, Liam Henry
702. Patrick Dangerfield, Shannon Neale, Callum Wilkie, Jack Silvagni
703. Jack Higgins, Darcy Wilson, Anthony Caminiti, Campbell Lake
704. Max Hall, Patrick Dangerfield, Tom Atkins, Jack Henry
705. Zach Guthrie, Anthony Caminiti, Jhye Clark, Oliver Henry
706. Mason Wood, Liam O'Connell, Tom Atkins, Liam Henry
707. Darcy Wilson, Patrick Dangerfield, Anthony Caminiti, Jack Silvagni
708. Nasiah Wanganeen-Milera, Gryan Miers, Patrick Dangerfield, Oliver Henry
709. Mitch Owens, Mark O'Connor, Jack Higgins, Hunter Clark
710. Nasiah Wanganeen-Milera, Cooper Sharman, Marcus Windhager, Oliver Wiltshire
711. Rowan Marshall, Mark O'Connor, Gryan Miers, Jack Silvagni
712. Tom Stewart, Connor O'Sullivan, Jhye Clark, Tobie Travaglia
713. Zach Guthrie, Liam Ryan, Tobie Travaglia, Oliver Henry
714. Nasiah Wanganeen-Milera, Connor O'Sullivan, Anthony Caminiti, Hunter Clark
715. Zach Guthrie, Anthony Caminiti, Shannon Neale, Mattaes Phillipou
716. Bailey Smith, Ryan Byrnes, James Worpel, Mattaes Phillipou
717. Liam Stocker, Jack Silvagni, James Worpel, Campbell Lake
718. Cooper Sharman, Mark O'Connor, Liam Ryan, Campbell Lake
719. Mitch Owens, Ryan Byrnes, Jack Silvagni, Campbell Lake
720. Mitchell Edwards, Sam De Koning, Bradley Hill, Oliver Henry
721. Mark O'Connor, Marcus Windhager, Patrick Dangerfield, Jay Polkinghorne
722. Mitch Owens, Liam Ryan, Patrick Dangerfield, Liam Henry
723. Hugo Garcia, Jack Higgins, Bailey Smith, Jack Silvagni
724. Mark O'Connor, Lawson Humphries, Oliver Wiltshire, Liam Henry
725. Oisin Mullin, Mason Wood, Liam O'Connell, Campbell Lake
726. Connor O'Sullivan, Liam Ryan, Jay Polkinghorne, Jhye Clark
727. Nasiah Wanganeen-Milera, Liam Ryan, Liam Henry, Jack Henry
728. Mitch Owens, Jack Silvagni, Tobie Travaglia, Liam Henry
729. Tom Stewart, Cooper Sharman, Mark O'Connor, Liam Stocker
730. Gryan Miers, Liam Stocker, Patrick Dangerfield, Campbell Lake
731. Tom Stewart, Mitch Owens, Callum Wilkie, Jhye Clark
732. Liam O'Connell, Bailey Smith, Darcy Wilson, Hunter Clark
733. Mitchell Edwards, Hugo Garcia, Jack Silvagni, Jack Henry
734. Liam Ryan, Shannon Neale, Jay Polkinghorne, Tobie Travaglia
735. Hugo Garcia, Ryan Byrnes, Tobie Travaglia, Mattaes Phillipou
736. Rowan Marshall, Max Hall, Tobie Travaglia, Jack Henry
737. Nasiah Wanganeen-Milera, Mitch Owens, Shannon Neale, Jack Silvagni
738. Sam De Koning, Liam Ryan, Gryan Miers, Callum Wilkie
739. Mark O'Connor, Jack Higgins, Oliver Dempsey, Patrick Dangerfield
740. Oliver Dempsey, Jhye Clark, James Worpel, Liam Henry
741. Nasiah Wanganeen-Milera, Mitch Owens, Oliver Dempsey, Tobie Travaglia
742. Max Hall, Bailey Smith, Bradley Hill, Campbell Lake
743. Mark O'Connor, Oliver Dempsey, Bradley Hill, Jhye Clark
744. Zach Guthrie, Mark O'Connor, Marcus Windhager, Tom Atkins
745. Mitchell Edwards, Tom Stewart, Zach Guthrie, Mattaes Phillipou
746. Rowan Marshall, Oliver Dempsey, Patrick Dangerfield, Jack Silvagni
