1. Isaac Heeney | Daniel Curtin | William Edwards | Braeden Campbell
396. Tom McCartin | Josh Rachele | Matt Roberts | Charlie Curnow
397. Errol Gulden | James Jordon | Brayden Cook | Charlie Curnow
398. Darcy Fogarty | Josh Rachele | Hugo Hall-Kahan | Toby Murray
399. James Borlase | Mark Keane | Ben Keays | Toby Murray
400. Sam Berry | Chad Warner | Hayden McLean | Malcolm Rosas
401. Daniel Curtin | Callum Mills | Darcy Fogarty | Malcolm Rosas
402. Sam Berry | William Edwards | James Jordon | Mark Keane
403. Sam Berry | Harry Cunningham | Errol Gulden | James Jordon
404. Darcy Fogarty | Errol Gulden | Josh Worrell | Ben Keays
405. Brodie Grundy | Alex Neal-Bullen | Dane Rampe | Isaac Cumming
406. Sam Berry | Josh Rachele | James Rowbottom | Logan McDonald
407. William Edwards | Isaac Cumming | Jordan Dawson | Max Michalanney
408. Darcy Fogarty | Errol Gulden | Isaac Cumming | Jake Lloyd
409. Daniel Curtin | Darcy Fogarty | Jake Lloyd | Toby Murray
410. Daniel Curtin | Jordan Dawson | Hayden McLean | Toby Murray
411. Sam Berry | Callum Mills | Izak Rankine | Logan McDonald
412. Isaac Heeney | Chad Warner | Callum Mills | Tom McCartin
413. Alex Neal-Bullen | Riley Thilthorpe | Errol Gulden | James Rowbottom
414. Brodie Grundy | Riley Thilthorpe | Izak Rankine | Zac Taylor
415. Nick Blakey | Riley Thilthorpe | James Rowbottom | James Borlase
416. Chad Warner | Izak Rankine | Errol Gulden | Toby Murray
417. Chad Warner | Callum Mills | Josh Rachele | Isaac Cumming
418. Dane Rampe | Hugo Hall-Kahan | James Borlase | Toby Murray
419. Tom McCartin | Dane Rampe | Braeden Campbell | James Peatling
420. Callum Mills | Wayne Milera | Tom Papley | Riley Bice
421. Chad Warner | Isaac Cumming | James Jordon | Wayne Milera
422. Chad Warner | Izak Rankine | Jake Lloyd | Mark Keane
423. Brodie Grundy | Tom McCartin | James Jordon | Zac Taylor
424. Sam Berry | Brayden Cook | Max Michalanney | Malcolm Rosas
425. Darcy Fogarty | Jake Soligo | Izak Rankine | Braeden Campbell
426. William Edwards | Izak Rankine | Riley Bice | Zac Taylor
427. Callum Mills | Tom McCartin | Brayden Cook | Riley Bice
428. Lachlan McAndrew | Callum Mills | Charlie Curnow | Logan McDonald
429. Callum Mills | Alex Neal-Bullen | Darcy Fogarty | Izak Rankine
430. Tom McCartin | Nick Blakey | Brayden Cook | Riley Bice
431. Josh Rachele | Isaac Cumming | James Jordon | Ben Keays
432. Darcy Fogarty | Jake Soligo | Max Michalanney | Malcolm Rosas
433. Izak Rankine | Isaac Cumming | Brayden Cook | Luke Nankervis
434. William Edwards | Jai Serong | Jordan Dawson | Ben Keays
435. Brodie Grundy | Darcy Fogarty | Riley Thilthorpe | Angus Sheldrick
436. Isaac Heeney | Callum Mills | Izak Rankine | James Jordon
437. Daniel Curtin | Izak Rankine | Riley Bice | Braeden Campbell
438. Sam Berry | Josh Rachele | Izak Rankine | Zac Taylor
439. Isaac Cumming | Hayden McLean | Max Michalanney | Ben Keays
440. Daniel Curtin | Isaac Cumming | James Rowbottom | Riley Bice
441. Brodie Grundy | Josh Rachele | Charlie Curnow | Mark Keane
442. Isaac Heeney | Chad Warner | Tom McCartin | Harry Cunningham
443. James Jordon | Josh Worrell | Brayden Cook | Max Michalanney
444. Jake Soligo | Errol Gulden | Isaac Cumming | Charlie Curnow
445. Tom McCartin | Jake Soligo | Dane Rampe | Ben Keays
446. William Edwards | Alex Neal-Bullen | James Peatling | Luke Nankervis
447. Jake Soligo | Jai Serong | Tom Papley | Logan McDonald
448. James Rowbottom | Charlie Curnow | Ben Keays | James Peatling
449. Josh Rachele | Hugo Hall-Kahan | James Rowbottom | James Peatling
450. Isaac Heeney | Callum Mills | Jai Serong | Jake Lloyd
451. Alex Neal-Bullen | Izak Rankine | Braeden Campbell | Zac Taylor
452. Isaac Cumming | James Jordon | Hayden McLean | Malcolm Rosas
453. Sam Berry | James Jordon | Charlie Curnow | Logan McDonald
454. Daniel Curtin | Nick Blakey | James Borlase | Zac Taylor
455. Brodie Grundy | Jai Serong | Jordan Dawson | Malcolm Rosas
456. Jake Soligo | Jai Serong | Jake Lloyd | Riley Bice
457. Brodie Grundy | Lachlan McAndrew | Nick Blakey | Zac Taylor
458. Riley Thilthorpe | Matt Roberts | James Jordon | Logan McDonald
459. Izak Rankine | Hugo Hall-Kahan | Zac Taylor | Angus Sheldrick
460. Chad Warner | Daniel Curtin | Izak Rankine | Logan McDonald
461. Tom McCartin | Hugo Hall-Kahan | Brayden Cook | Malcolm Rosas
462. Jake Soligo | Riley Thilthorpe | Charlie Curnow | Malcolm Rosas
463. Lachlan McAndrew | William Edwards | Alex Neal-Bullen | Isaac Cumming
464. William Edwards | Errol Gulden | James Jordon | Luke Nankervis
465. William Edwards | Darcy Fogarty | Dane Rampe | Logan McDonald
466. Isaac Heeney | Darcy Fogarty | Dane Rampe | Nick Blakey
467. Callum Mills | Isaac Cumming | James Rowbottom | James Borlase
468. Josh Rachele | Errol Gulden | Hugo Hall-Kahan | Riley Bice
469. William Edwards | Tom McCartin | Nick Blakey | Errol Gulden
470. Darcy Fogarty | Riley Thilthorpe | Tom Papley | Ben Keays
471. William Edwards | Riley Thilthorpe | Jake Lloyd | James Rowbottom
472. Darcy Fogarty | Nick Blakey | Izak Rankine | Luke Nankervis
473. Callum Mills | Izak Rankine | Wayne Milera | Luke Nankervis
474. Matt Roberts | Hayden McLean | Logan McDonald | Angus Sheldrick
475. Isaac Heeney | Jake Soligo | Riley Thilthorpe | Josh Worrell
476. Sam Berry | Wayne Milera | Josh Worrell | Hayden McLean
477. Darcy Fogarty | Brayden Cook | Mark Keane | James Peatling
478. Alex Neal-Bullen | Harry Cunningham | Izak Rankine | Brayden Cook
479. Sam Berry | Dane Rampe | James Rowbottom | Braeden Campbell
480. Brayden Cook | Logan McDonald | James Peatling | Luke Nankervis
481. Jai Serong | James Jordon | Zac Taylor | James Peatling
482. Callum Mills | Isaac Cumming | Zac Taylor | James Peatling
483. Darcy Fogarty | Josh Rachele | Jai Serong | Charlie Curnow
484. Matt Roberts | Jordan Dawson | James Jordon | Tom Papley
485. Brodie Grundy | Lachlan McAndrew | Chad Warner | James Rowbottom
486. Callum Mills | Jake Lloyd | Brayden Cook | Tom Papley
487. Callum Mills | Dane Rampe | Jordan Dawson | Max Michalanney
488. Chad Warner | Darcy Fogarty | Jordan Dawson | Wayne Milera
489. Jake Soligo | Josh Rachele | James Borlase | Malcolm Rosas
490. Isaac Cumming | Tom Papley | James Borlase | Riley Bice
491. James Rowbottom | Max Michalanney | James Borlase | Malcolm Rosas
492. William Edwards | Harry Cunningham | Izak Rankine | James Jordon
493. Dane Rampe | Charlie Curnow | Toby Murray | Malcolm Rosas
494. Jake Soligo | James Rowbottom | Ben Keays | Luke Nankervis
495. Jake Soligo | Wayne Milera | Hayden McLean | Logan McDonald
496. Chad Warner | Dane Rampe | Josh Rachele | Angus Sheldrick
497. Josh Rachele | Jordan Dawson | Toby Murray | Malcolm Rosas
498. Nick Blakey | Matt Roberts | Jordan Dawson | Toby Murray
499. Sam Berry | Darcy Fogarty | James Jordon | Brayden Cook
500. Lachlan McAndrew | Nick Blakey | Hugo Hall-Kahan | Charlie Curnow
501. Callum Mills | Jake Soligo | Dane Rampe | Riley Thilthorpe
502. Josh Rachele | Brayden Cook | Charlie Curnow | Zac Taylor
503. Hayden McLean | Mark Keane | Logan McDonald | Toby Murray
504. William Edwards | James Jordon | James Rowbottom | Malcolm Rosas
505. Lachlan McAndrew | Matt Roberts | Ben Keays | Luke Nankervis
506. Chad Warner | Hayden McLean | James Borlase | Toby Murray
507. William Edwards | Tom McCartin | James Jordon | Tom Papley
508. Chad Warner | Matt Roberts | Charlie Curnow | Mark Keane
509. Chad Warner | Callum Mills | Jake Soligo | Charlie Curnow
510. Isaac Heeney | Jake Lloyd | Toby Murray | Malcolm Rosas
511. Brodie Grundy | Tom McCartin | Zac Taylor | James Peatling
512. Brodie Grundy | Isaac Cumming | Mark Keane | Zac Taylor
513. Daniel Curtin | Alex Neal-Bullen | Harry Cunningham | Logan McDonald
514. Nick Blakey | Errol Gulden | Max Michalanney | Toby Murray
515. Josh Worrell | Brayden Cook | Angus Sheldrick | Luke Nankervis
516. Lachlan McAndrew | Tom McCartin | Jake Soligo | James Borlase
517. Dane Rampe | Errol Gulden | Isaac Cumming | Toby Murray
518. Darcy Fogarty | Isaac Cumming | Wayne Milera | Toby Murray
519. Isaac Cumming | Hugo Hall-Kahan | Tom Papley | Logan McDonald
520. Sam Berry | Max Michalanney | James Borlase | Riley Bice
521. Alex Neal-Bullen | Izak Rankine | Errol Gulden | James Jordon
522. Harry Cunningham | Isaac Cumming | Charlie Curnow | Zac Taylor
523. Darcy Fogarty | Jake Soligo | Max Michalanney | Ben Keays
524. Daniel Curtin | Tom McCartin | James Borlase | Mark Keane
525. Isaac Heeney | James Rowbottom | Brayden Cook | Malcolm Rosas
526. Brodie Grundy | Isaac Heeney | Izak Rankine | Josh Worrell
527. Isaac Heeney | Sam Berry | Matt Roberts | James Peatling
528. Jake Soligo | Nick Blakey | Izak Rankine | James Jordon
529. Chad Warner | Harry Cunningham | Mark Keane | Braeden Campbell
530. Sam Berry | Nick Blakey | James Rowbottom | Brayden Cook
531. Josh Rachele | James Peatling | Malcolm Rosas | Luke Nankervis
532. Dane Rampe | Tom Papley | Ben Keays | Angus Sheldrick
533. Brodie Grundy | James Rowbottom | James Borlase | Malcolm Rosas
534. Errol Gulden | Isaac Cumming | Hayden McLean | Max Michalanney
535. Daniel Curtin | Jake Soligo | Harry Cunningham | Jake Lloyd
536. Isaac Heeney | Tom McCartin | Jake Lloyd | Malcolm Rosas
537. Dane Rampe | Errol Gulden | Toby Murray | Luke Nankervis
538. Isaac Heeney | Harry Cunningham | Errol Gulden | Luke Nankervis
539. Dane Rampe | Tom Papley | Toby Murray | Luke Nankervis
540. Riley Thilthorpe | James Borlase | Ben Keays | Braeden Campbell
541. Errol Gulden | Hugo Hall-Kahan | James Rowbottom | Logan McDonald
542. James Jordon | James Rowbottom | Josh Worrell | Luke Nankervis
543. William Edwards | Jake Soligo | Jake Lloyd | Wayne Milera
544. Jake Soligo | Josh Worrell | Tom Papley | Zac Taylor
545. Josh Worrell | James Borlase | Riley Bice | Luke Nankervis
546. Josh Rachele | Izak Rankine | James Rowbottom | Ben Keays
547. Jake Soligo | Harry Cunningham | Josh Rachele | James Borlase
548. Matt Roberts | Jordan Dawson | Hugo Hall-Kahan | James Borlase
549. Dane Rampe | Nick Blakey | Riley Thilthorpe | Logan McDonald
550. Sam Berry | Callum Mills | Izak Rankine | Tom Papley
551. Nick Blakey | Errol Gulden | Jake Lloyd | Malcolm Rosas
552. Dane Rampe | Josh Rachele | James Jordon | James Borlase
553. Daniel Curtin | Riley Thilthorpe | Jake Lloyd | Logan McDonald
554. Daniel Curtin | Darcy Fogarty | Josh Rachele | James Peatling
555. Callum Mills | Tom McCartin | Harry Cunningham | Angus Sheldrick
556. Riley Thilthorpe | Errol Gulden | James Rowbottom | Braeden Campbell
557. Nick Blakey | James Borlase | Braeden Campbell | Toby Murray
558. Daniel Curtin | William Edwards | Alex Neal-Bullen | Max Michalanney
559. Callum Mills | William Edwards | Nick Blakey | Josh Worrell
560. Jake Soligo | James Jordon | Wayne Milera | Brayden Cook
561. Lachlan McAndrew | Darcy Fogarty | Jake Soligo | Brayden Cook
562. Callum Mills | Jake Soligo | Mark Keane | Angus Sheldrick
563. Chad Warner | Charlie Curnow | Hayden McLean | Malcolm Rosas
564. Daniel Curtin | Brayden Cook | Toby Murray | Luke Nankervis
565. William Edwards | Jake Lloyd | James Rowbottom | Wayne Milera
566. William Edwards | Dane Rampe | Charlie Curnow | Hayden McLean
567. Izak Rankine | James Rowbottom | Josh Worrell | Braeden Campbell
568. Lachlan McAndrew | Jake Soligo | Errol Gulden | James Peatling
569. Isaac Heeney | Izak Rankine | James Jordon | Tom Papley
570. Isaac Heeney | Max Michalanney | Zac Taylor | Luke Nankervis
571. Chad Warner | Jake Lloyd | Josh Worrell | Tom Papley
572. Alex Neal-Bullen | Riley Thilthorpe | James Jordon | Logan McDonald
573. Sam Berry | Chad Warner | Dane Rampe | Mark Keane
574. Chad Warner | Dane Rampe | Matt Roberts | James Jordon
575. Lachlan McAndrew | Daniel Curtin | William Edwards | Hayden McLean
576. Darcy Fogarty | Isaac Cumming | Mark Keane | Luke Nankervis
577. Darcy Fogarty | Riley Thilthorpe | Jai Serong | James Jordon
578. William Edwards | Errol Gulden | Ben Keays | Angus Sheldrick
579. Izak Rankine | Tom Papley | Logan McDonald | James Peatling
580. Dane Rampe | Mark Keane | Angus Sheldrick | James Peatling
581. Darcy Fogarty | Jordan Dawson | James Borlase | Zac Taylor
582. Lachlan McAndrew | Chad Warner | Josh Rachele | Brayden Cook
583. Chad Warner | Alex Neal-Bullen | Dane Rampe | Errol Gulden
584. Darcy Fogarty | Josh Worrell | Toby Murray | Luke Nankervis
585. Alex Neal-Bullen | Isaac Cumming | Wayne Milera | Angus Sheldrick
586. Jordan Dawson | Jake Lloyd | Max Michalanney | James Borlase
587. Brodie Grundy | William Edwards | Alex Neal-Bullen | Angus Sheldrick
588. Isaac Cumming | Hugo Hall-Kahan | Tom Papley | Luke Nankervis
589. Alex Neal-Bullen | Harry Cunningham | Max Michalanney | Toby Murray
590. Nick Blakey | Isaac Cumming | Wayne Milera | Mark Keane
591. Brodie Grundy | Isaac Heeney | Jai Serong | Angus Sheldrick
592. Tom McCartin | Harry Cunningham | Riley Thilthorpe | Matt Roberts
593. Callum Mills | Errol Gulden | Mark Keane | Riley Bice
594. Alex Neal-Bullen | Isaac Cumming | Braeden Campbell | James Peatling
595. Darcy Fogarty | James Rowbottom | Logan McDonald | James Peatling
596. Izak Rankine | Hugo Hall-Kahan | Hayden McLean | Luke Nankervis
597. Matt Roberts | Jai Serong | Wayne Milera | Brayden Cook
598. Jake Lloyd | James Borlase | Ben Keays | Braeden Campbell
599. Chad Warner | Josh Rachele | Riley Bice | Zac Taylor
600. Harry Cunningham | Riley Thilthorpe | Hayden McLean | Malcolm Rosas
601. Chad Warner | Josh Rachele | Errol Gulden | Riley Bice
602. Daniel Curtin | Max Michalanney | Braeden Campbell | Logan McDonald
603. Jake Soligo | Jai Serong | Jordan Dawson | Toby Murray
604. Harry Cunningham | Josh Rachele | Matt Roberts | Luke Nankervis
605. Brodie Grundy | Darcy Fogarty | Riley Bice | Luke Nankervis
606. Alex Neal-Bullen | Jai Serong | Riley Bice | Braeden Campbell
607. William Edwards | Jake Lloyd | Tom Papley | Mark Keane
608. Darcy Fogarty | Harry Cunningham | Errol Gulden | Tom Papley
609. Sam Berry | Tom McCartin | James Jordon | Riley Bice
610. Nick Blakey | Harry Cunningham | Jake Lloyd | Brayden Cook
611. Isaac Heeney | Jake Soligo | Errol Gulden | Riley Bice
612. Braeden Campbell | Zac Taylor | Toby Murray | Angus Sheldrick
613. Izak Rankine | Errol Gulden | Charlie Curnow | Malcolm Rosas
614. Brodie Grundy | Darcy Fogarty | Jake Soligo | Charlie Curnow
615. Alex Neal-Bullen | James Rowbottom | Zac Taylor | Logan McDonald
616. Hugo Hall-Kahan | Josh Worrell | Ben Keays | Luke Nankervis
617. Errol Gulden | Max Michalanney | James Borlase | Ben Keays
618. Brodie Grundy | Darcy Fogarty | Dane Rampe | Max Michalanney
619. Lachlan McAndrew | Nick Blakey | Harry Cunningham | James Peatling
620. Jake Soligo | Josh Rachele | Izak Rankine | Max Michalanney
621. Isaac Heeney | Josh Rachele | Josh Worrell | Zac Taylor
622. Dane Rampe | Jake Lloyd | Charlie Curnow | James Peatling
623. Sam Berry | Izak Rankine | Errol Gulden | Charlie Curnow
624. Brodie Grundy | James Rowbottom | Riley Bice | Angus Sheldrick
625. Daniel Curtin | Izak Rankine | Jai Serong | Jake Lloyd
626. Alex Neal-Bullen | Harry Cunningham | Izak Rankine | Matt Roberts
627. William Edwards | Izak Rankine | Isaac Cumming | Toby Murray
628. Chad Warner | Jake Soligo | Josh Rachele | Mark Keane
629. Dane Rampe | Matt Roberts | Josh Worrell | Braeden Campbell
630. William Edwards | Riley Thilthorpe | Ben Keays | Braeden Campbell
631. William Edwards | Wayne Milera | Hayden McLean | James Peatling
632. Alex Neal-Bullen | Harry Cunningham | Izak Rankine | James Jordon
633. Callum Mills | Tom McCartin | James Jordon | Mark Keane
634. Darcy Fogarty | Hayden McLean | Ben Keays | Luke Nankervis
635. Daniel Curtin | Dane Rampe | Jake Lloyd | Josh Worrell
636. Lachlan McAndrew | Dane Rampe | Nick Blakey | Mark Keane
637. Nick Blakey | Riley Thilthorpe | Isaac Cumming | Zac Taylor
638. Brodie Grundy | William Edwards | Tom McCartin | Zac Taylor
639. Izak Rankine | Jake Lloyd | Wayne Milera | James Borlase
640. Brodie Grundy | Tom Papley | Hayden McLean | Angus Sheldrick
641. Tom McCartin | Nick Blakey | Josh Rachele | Toby Murray
642. Chad Warner | Matt Roberts | James Jordon | Malcolm Rosas
643. Lachlan McAndrew | Callum Mills | Jai Serong | Braeden Campbell
644. Brodie Grundy | Izak Rankine | Matt Roberts | Riley Bice
645. Brodie Grundy | Jake Soligo | Max Michalanney | Logan McDonald
646. Daniel Curtin | Darcy Fogarty | Riley Thilthorpe | Jake Lloyd
647. Chad Warner | Callum Mills | Nick Blakey | Wayne Milera
648. Brodie Grundy | William Edwards | Riley Thilthorpe | Logan McDonald
649. Mark Keane | Riley Bice | Logan McDonald | Malcolm Rosas
650. Sam Berry | Chad Warner | Alex Neal-Bullen | Wayne Milera
651. Daniel Curtin | Callum Mills | Brayden Cook | James Peatling
652. Isaac Heeney | Darcy Fogarty | Josh Worrell | Logan McDonald
653. Nick Blakey | Matt Roberts | Wayne Milera | Logan McDonald
654. Isaac Heeney | Callum Mills | Alex Neal-Bullen | James Rowbottom
655. Errol Gulden | Charlie Curnow | Ben Keays | Malcolm Rosas
656. Chad Warner | Harry Cunningham | Isaac Cumming | Logan McDonald
657. Dane Rampe | Hayden McLean | Max Michalanney | Braeden Campbell
658. Daniel Curtin | Harry Cunningham | Brayden Cook | Braeden Campbell
659. Tom McCartin | Charlie Curnow | Max Michalanney | Zac Taylor
660. Sam Berry | Alex Neal-Bullen | Brayden Cook | Mark Keane
661. James Rowbottom | Tom Papley | Braeden Campbell | Malcolm Rosas
662. James Rowbottom | Mark Keane | James Peatling | Malcolm Rosas
663. Isaac Heeney | Callum Mills | Darcy Fogarty | Brayden Cook
664. Sam Berry | Tom McCartin | Dane Rampe | Errol Gulden
665. William Edwards | Tom McCartin | James Borlase | Ben Keays
666. Isaac Heeney | Chad Warner | Callum Mills | Alex Neal-Bullen
667. Isaac Cumming | Wayne Milera | Riley Bice | Ben Keays
668. Brodie Grundy | Alex Neal-Bullen | Jai Serong | Wayne Milera
669. William Edwards | Alex Neal-Bullen | Josh Rachele | Josh Worrell
670. Isaac Cumming | Hugo Hall-Kahan | Max Michalanney | James Borlase
671. Alex Neal-Bullen | Dane Rampe | Josh Rachele | Toby Murray
672. Alex Neal-Bullen | Hayden McLean | Logan McDonald | Angus Sheldrick
673. Chad Warner | Daniel Curtin | Riley Bice | Ben Keays
674. Lachlan McAndrew | Alex Neal-Bullen | Matt Roberts | Jake Lloyd
675. Hugo Hall-Kahan | Brayden Cook | Charlie Curnow | Toby Murray
676. Daniel Curtin | Tom McCartin | Matt Roberts | Max Michalanney
677. Lachlan McAndrew | Josh Worrell | Riley Bice | Logan McDonald
678. Callum Mills | Jordan Dawson | Charlie Curnow | Hayden McLean
679. Jake Lloyd | Wayne Milera | Brayden Cook | Riley Bice
680. Isaac Heeney | Tom McCartin | Jordan Dawson | Wayne Milera
681. Jai Serong | Isaac Cumming | Wayne Milera | James Peatling
682. Brodie Grundy | Izak Rankine | Josh Worrell | James Borlase
683. Tom McCartin | Jake Soligo | Josh Worrell | James Peatling
684. Izak Rankine | Matt Roberts | Brayden Cook | Riley Bice
685. Jake Soligo | Harry Cunningham | Zac Taylor | James Peatling
686. Alex Neal-Bullen | Darcy Fogarty | Jake Soligo | Harry Cunningham
687. Lachlan McAndrew | Callum Mills | James Jordon | Ben Keays
688. Josh Rachele | Matt Roberts | James Jordon | Mark Keane
689. Tom McCartin | Alex Neal-Bullen | Dane Rampe | Jake Lloyd
690. Brodie Grundy | Chad Warner | James Jordon | Angus Sheldrick
691. Darcy Fogarty | Josh Worrell | Ben Keays | Malcolm Rosas
692. Harry Cunningham | Matt Roberts | Isaac Cumming | Tom Papley
693. Isaac Heeney | Sam Berry | Darcy Fogarty | Dane Rampe
694. Jake Soligo | Matt Roberts | Hugo Hall-Kahan | Braeden Campbell
695. Tom McCartin | Isaac Cumming | Wayne Milera | Josh Worrell
696. Dane Rampe | Hugo Hall-Kahan | Jake Lloyd | Josh Worrell
697. Sam Berry | Chad Warner | Harry Cunningham | Isaac Cumming
698. Jake Soligo | Errol Gulden | Mark Keane | Angus Sheldrick
699. Sam Berry | Nick Blakey | Brayden Cook | Malcolm Rosas
700. Riley Thilthorpe | Errol Gulden | James Borlase | Zac Taylor
701. Daniel Curtin | James Rowbottom | Braeden Campbell | Toby Murray
702. Tom Papley | Hayden McLean | Max Michalanney | Mark Keane
703. Izak Rankine | Hugo Hall-Kahan | Charlie Curnow | Luke Nankervis
704. Nick Blakey | Tom Papley | Braeden Campbell | Angus Sheldrick
705. Dane Rampe | Charlie Curnow | Riley Bice | Malcolm Rosas
706. Jake Soligo | Errol Gulden | Braeden Campbell | Toby Murray
707. Hugo Hall-Kahan | Tom Papley | Charlie Curnow | Mark Keane
708. Daniel Curtin | James Jordon | Tom Papley | Malcolm Rosas
709. William Edwards | Harry Cunningham | Izak Rankine | Zac Taylor
710. Daniel Curtin | Alex Neal-Bullen | Isaac Cumming | Jordan Dawson
711. Lachlan McAndrew | Harry Cunningham | James Jordon | Mark Keane
712. Callum Mills | Tom McCartin | Riley Bice | Ben Keays
713. Dane Rampe | Josh Rachele | Ben Keays | Malcolm Rosas
714. Daniel Curtin | Tom McCartin | Charlie Curnow | Zac Taylor
715. Dane Rampe | Charlie Curnow | Hayden McLean | James Peatling
716. Jai Serong | Jake Lloyd | Logan McDonald | James Peatling
717. Wayne Milera | Mark Keane | Logan McDonald | Luke Nankervis
718. Alex Neal-Bullen | Harry Cunningham | Josh Rachele | Luke Nankervis
719. William Edwards | Jake Lloyd | Mark Keane | Luke Nankervis
720. Brodie Grundy | Darcy Fogarty | Brayden Cook | Malcolm Rosas
721. Harry Cunningham | Isaac Cumming | Tom Papley | James Borlase
722. William Edwards | Josh Rachele | Tom Papley | Toby Murray
723. Sam Berry | Izak Rankine | Jai Serong | Mark Keane
724. Harry Cunningham | Riley Thilthorpe | Jordan Dawson | Toby Murray
725. Chad Warner | Jake Soligo | Errol Gulden | Luke Nankervis
726. Tom McCartin | Josh Rachele | James Borlase | Riley Bice
727. Daniel Curtin | Josh Rachele | Toby Murray | Angus Sheldrick
728. William Edwards | Mark Keane | Ben Keays | Toby Murray
729. Callum Mills | Alex Neal-Bullen | Harry Cunningham | Wayne Milera
730. James Jordon | Wayne Milera | Tom Papley | Luke Nankervis
731. Callum Mills | William Edwards | Max Michalanney | Riley Bice
732. Errol Gulden | Jai Serong | Hugo Hall-Kahan | Zac Taylor
733. Brodie Grundy | Sam Berry | Mark Keane | Angus Sheldrick
734. Josh Rachele | Hayden McLean | James Borlase | Ben Keays
735. Sam Berry | Jake Lloyd | Ben Keays | James Peatling
736. Lachlan McAndrew | Nick Blakey | Ben Keays | Angus Sheldrick
737. Daniel Curtin | William Edwards | Hayden McLean | Mark Keane
738. Darcy Fogarty | Josh Rachele | James Jordon | Max Michalanney
739. Harry Cunningham | Izak Rankine | Matt Roberts | Tom Papley
740. Matt Roberts | Riley Bice | Logan McDonald | Toby Murray
741. Daniel Curtin | William Edwards | Matt Roberts | Ben Keays
742. Nick Blakey | Jai Serong | Brayden Cook | Luke Nankervis
743. Harry Cunningham | Matt Roberts | Brayden Cook | Riley Bice
744. Dane Rampe | Harry Cunningham | Isaac Cumming | Braeden Campbell
745. Brodie Grundy | Callum Mills | Dane Rampe | James Peatling
746. Lachlan McAndrew | Matt Roberts | Tom Papley | Mark Keane
747. Callum Mills | Riley Thilthorpe | Josh Worrell | James Borlase
748. Chad Warner | Riley Thilthorpe | Wayne Milera | Josh Worrell
749. Darcy Fogarty | Harry Cunningham | Jai Serong | Wayne Milera
750. Daniel Curtin | Tom McCartin | Hugo Hall-Kahan | Hayden McLean
751. Callum Mills | Brayden Cook | Charlie Curnow | Max Michalanney
752. Isaac Cumming | Riley Bice | Braeden Campbell | James Peatling
753. Tom McCartin | Charlie Curnow | Riley Bice | Angus Sheldrick
754. Nick Blakey | Matt Roberts | Hugo Hall-Kahan | Zac Taylor
755. Matt Roberts | Tom Papley | Hayden McLean | Max Michalanney
756. Riley Thilthorpe | Max Michalanney | Riley Bice | Luke Nankervis
757. Tom McCartin | Darcy Fogarty | Harry Cunningham | Brayden Cook
758. Jake Soligo | Nick Blakey | Jai Serong | Logan McDonald
759. Matt Roberts | James Jordon | Braeden Campbell | James Peatling
760. William Edwards | Errol Gulden | James Borlase | Luke Nankervis
761. Tom McCartin | Harry Cunningham | Riley Thilthorpe | Hayden McLean
762. Dane Rampe | Izak Rankine | Riley Bice | Zac Taylor
763. Daniel Curtin | Josh Worrell | Charlie Curnow | Toby Murray
764. Callum Mills | Tom Papley | Charlie Curnow | Ben Keays
765. Daniel Curtin | Dane Rampe | Josh Rachele | Luke Nankervis
766. Chad Warner | James Jordon | Josh Worrell | Charlie Curnow
767. Isaac Heeney | Tom McCartin | Matt Roberts | Isaac Cumming
768. Sam Berry | Josh Worrell | Hayden McLean | Max Michalanney
769. William Edwards | Darcy Fogarty | Tom Papley | Luke Nankervis
770. Isaac Heeney | Tom McCartin | Alex Neal-Bullen | Jake Soligo
771. Izak Rankine | Isaac Cumming | James Jordon | James Peatling
772. Sam Berry | Errol Gulden | Tom Papley | Charlie Curnow
773. Sam Berry | James Rowbottom | Max Michalanney | Ben Keays
774. Chad Warner | Nick Blakey | Hugo Hall-Kahan | Luke Nankervis
775. Nick Blakey | Hayden McLean | Toby Murray | Angus Sheldrick
776. Callum Mills | William Edwards | Zac Taylor | Luke Nankervis
777. Hugo Hall-Kahan | Jake Lloyd | James Rowbottom | James Peatling
778. Riley Thilthorpe | Jordan Dawson | Brayden Cook | Max Michalanney
779. James Jordon | Josh Worrell | Max Michalanney | Ben Keays
780. Callum Mills | Darcy Fogarty | Jake Lloyd | Max Michalanney
781. Lachlan McAndrew | James Rowbottom | Tom Papley | Braeden Campbell
782. Sam Berry | Charlie Curnow | Angus Sheldrick | Malcolm Rosas
783. Callum Mills | Matt Roberts | Errol Gulden | Isaac Cumming
784. Chad Warner | Isaac Cumming | Jordan Dawson | Toby Murray
785. Tom McCartin | Jai Serong | Hugo Hall-Kahan | Zac Taylor
786. Sam Berry | Josh Rachele | Wayne Milera | James Peatling
787. Callum Mills | Hugo Hall-Kahan | Wayne Milera | Angus Sheldrick
788. Brodie Grundy | Daniel Curtin | Darcy Fogarty | Zac Taylor
789. Izak Rankine | Errol Gulden | Hayden McLean | James Borlase
790. Isaac Heeney | Darcy Fogarty | Mark Keane | James Peatling
791. Callum Mills | William Edwards | Jake Soligo | Matt Roberts
792. Brodie Grundy | Isaac Cumming | Hugo Hall-Kahan | Angus Sheldrick
793. Lachlan McAndrew | Isaac Heeney | Daniel Curtin | James Rowbottom
794. Matt Roberts | Brayden Cook | Zac Taylor | Luke Nankervis
795. Callum Mills | Josh Rachele | Isaac Cumming | Brayden Cook
